symbol,price,price_change,price_percent_change
MRCY,"Mercury Systems, Inc.",,49.88 +7.79 (+18.51%)
CRTO,Criteo S.A.,,45.17 +6.77 (+17.63%)
MWA,"Mueller Water Products, Inc.",,26.93 +3.85 (+16.68%)
MAT,"Mattel, Inc.",,20.84 +2.77 (+15.33%)
ERJ,Embraer S.A.,,45.76 +5.91 (+14.83%)
SKY,"Champion Homes, Inc.",,105.27 +12.52 (+13.50%)
VNET,"VNET Group, Inc.",,8.51 +0.97 (+12.86%)
NOV,NOV Inc.,,16.43 +1.85 (+12.69%)
TEM,"Tempus AI, Inc.",,69.18 +7.33 (+11.85%)
JCI,Johnson Controls International plc,,86.01 +8.72 (+11.28%)
AMTM,"Amentum Holdings, Inc.",,22.68 +2.18 (+10.63%)
BB,BlackBerry Limited,,5.08 +0.46 (+9.96%)
VSH,"Vishay Intertechnology, Inc.",,18.28 +1.64 (+9.86%)
DNNGY,Ørsted A/S,,13.73 +1.23 (+9.84%)
SAN,"Banco Santander, S.A.",,5.62 +0.49 (+9.55%)
VWDRY,Vestas Wind Systems A/S,,5.06 +0.44 (+9.52%)
FNMA,Federal National Mortgage Association,,5.98 +0.51 (+9.32%)
SLAB,Silicon Laboratories Inc.,,149.06 +12.46 (+9.12%)
GFF,Griffon Corporation,,80.91 +6.60 (+8.88%)
CLS,Celestica Inc.,,143.67 +11.69 (+8.86%)
KD,"Kyndryl Holdings, Inc.",,43.45 +3.53 (+8.84%)
GSK,GSK plc,,37.70 +2.86 (+8.21%)
PCRFF,Panasonic Holdings Corporation,,11.35 +0.85 (+8.10%)
JANX,"Janux Therapeutics, Inc.",,44.65 +3.34 (+8.09%)
ATS,ATS Corporation,,28.82 +2.15 (+8.06%)
NMR,"Nomura Holdings, Inc.",,6.98 +0.52 (+8.05%)
BEAM,Beam Therapeutics Inc.,,27.82 +2.07 (+8.04%)
SMCI,"Super Micro Computer, Inc.",,31.49 +2.33 (+7.99%)
CRUS,"Cirrus Logic, Inc.",,109.34 +7.95 (+7.84%)
OKLO,Oklo Inc.,,50.50 +3.61 (+7.70%)
IMVT,"Immunovant, Inc.",,22.51 +1.60 (+7.65%)
EA,Electronic Arts Inc.,,130.47 +9.22 (+7.60%)
PCRHY,Panasonic Holdings Corporation,,11.36 +0.80 (+7.58%)
FI,"Fiserv, Inc.",,229.53 +15.31 (+7.15%)
LB,LandBridge Company LLC,,69.73 +4.62 (+7.10%)
ASTS,"AST SpaceMobile, Inc.",,24.71 +1.62 (+7.02%)
ARM,Arm Holdings plc,,173.26 +11.06 (+6.82%)
VRT,Vertiv Holdings Co,,119.04 +7.79 (+7.00%)
SMR,NuScale Power Corporation,,24.55 +1.57 (+6.83%)
SWTX,"SpringWorks Therapeutics, Inc.",,41.00 +2.60 (+6.77%)
FMCC,Federal Home Loan Mortgage Corporation,,5.39 +0.34 (+6.73%)
MOD,Modine Manufacturing Company,,105.14 +6.63 (+6.73%)
FTAI,FTAI Aviation Ltd.,,116.95 +7.35 (+6.71%)
AMGN,Amgen Inc.,,307.81 +18.79 (+6.50%)
WDAY,"Workday, Inc.",,276.17 +16.44 (+6.33%)
ORLA,Orla Mining Ltd.,,6.91 +0.41 (+6.31%)
MRVL,"Marvell Technology, Inc.",,116.46 +6.77 (+6.17%)
WU,The Western Union Company,,11.01 +0.63 (+6.07%)
KNSL,"Kinsale Capital Group, Inc.",,485.01 +27.72 (+6.06%)
CAMT,Camtek Ltd.,,93.54 +5.34 (+6.05%)
ASND,Ascendis Pharma A/S,,129.41 +7.16 (+5.86%)
MLTX,MoonLake Immunotherapeutics,,46.63 +2.52 (+5.71%)
VOYA,"Voya Financial, Inc.",,72.22 +3.79 (+5.54%)
APLS,"Apellis Pharmaceuticals, Inc.",,30.37 +1.59 (+5.52%)
AFRM,"Affirm Holdings, Inc.",,62.80 +3.27 (+5.49%)
AZZ,AZZ Inc.,,92.55 +4.81 (+5.48%)
HLNE,Hamilton Lane Incorporated,,170.18 +8.78 (+5.44%)
ODFL,"Old Dominion Freight Line, Inc.",,193.65 +9.99 (+5.44%)
