symbol,price,price_change,price_percent_change
Desktop Metal Inc. (DM),4.52,2.25,99.12
DatChat Inc. (DATS),3.78,1.62,75.0
Zhengye Biotechnology Holding Ltd. (ZYBT),8.2,2.4,41.38
Forte Biosciences Inc. (FBRX),8.51,2.19,34.65
Markforged Holding Corp. (MKFG),4.3,1.02,31.1
FST Corp. (KBSX),2.86,0.6,26.55
BitFuFu Inc. (FUFU),5.5,1.04,23.32
High Roller Technologies Inc. (ROLR),3.57,0.62,21.02
Porch Group Inc. (PRCH),7.96,1.1,16.03
Alliance Entertainment Holding Corp. (AENT),4.4,0.59,15.49
Xcel Brands Inc. (XELB),4.35,0.5,13.08
Better Home & Finance Holding Co. (BETR),13.95,1.57,12.68
Avalo Therapeutics Inc. (AVTX),8.54,0.91,11.93
Heidmar Maritime Holdings Corp. (HMR),3.42,0.35,11.4
Outset Medical Inc. (OM),11.67,1.18,11.25
Jayud Global Logistics Ltd. (JYD),5.4,0.52,10.66
ZJK Industrial Co. Ltd. (ZJK),5.76,0.54,10.34
Aeva Technologies Inc. (AEVA),5.19,0.45,9.49
Creative Global Technology Holdings Ltd. (CGTL),3.35,0.29,9.48
SemiLEDS Corp. (LEDS),2.35,0.2,9.4
Trump Media & Technology Group Corp. (DJT),22.87,1.86,8.85
Mobileye Global Inc. Cl A (MBLY),16.58,1.32,8.65
Lexeo Therapeutics Inc. (LXEO),4.44,0.35,8.56
Enerpac Tool Group Corp. Cl A (EPAC),47.02,3.64,8.39
Comstock Holding Cos. Inc. Cl A (CHCI),10.03,0.76,8.2
Grupo Supervielle S.A. ADR (SUPV),15.08,1.1,7.87
Uni-Fuels Holdings Ltd. (UFG),5.55,0.4,7.77
Sky Harbour Group Corp. (SKYH),12.91,0.93,7.76
CuriosityStream Inc. (CURI),3.13,0.23,7.75
Sandstorm Gold Ltd. (SAND),7.37,0.52,7.59
Monogram Technologies Inc. (MGRM),3.05,0.21,7.39
NextNRG Inc. (NXXT),3.05,0.21,7.39
Power Solutions International Inc. (PSIX),31.96,2.13,7.14
GD Culture Group Ltd. (GDC),2.77,0.18,6.95
Spire Global Inc. (SPIR),9.24,0.6,6.94
Superior Industries International Inc. (SUP),2.62,0.17,6.94
Tiptree Inc. (TIPT),24.84,1.6,6.88
Sionna Therapeutics Inc. (SION),12.93,0.83,6.86
Phunware Inc. (PHUN),3.28,0.21,6.84
INmune Bio Inc. (INMB),8.86,0.56,6.75
International Paper Co. (IP),56.26,3.43,6.49
NioCorp Developments Ltd. (NB),2.3,0.14,6.48
Exodus Movement Inc. (EXOD),56.04,3.4,6.46
RF Industries Ltd. (RFIL),4.88,0.29,6.32
GeoPark Ltd. (GPRK),8.23,0.48,6.19
Diginex Ltd. (DGNX),96.99,5.57,6.09
Wellgistics Health Inc. (WGRX),4.19,0.24,6.08
MIND C.T.I. Ltd. (MNDO),1.94,0.11,6.01
Alumis Inc. (ALMS),4.0,0.23,5.96
M-tron Industries Inc. (MPTI),44.59,2.5,5.94
Laird Superfood Inc. (LSF),6.61,0.37,5.93
Actuate Therapeutics Inc. (ACTU),7.62,0.42,5.83
POET Technologies Inc. (POET),4.39,0.24,5.78
3 E Network Technology Group Ltd. Cl A (MASK),3.57,0.19,5.62
Eldorado Gold Corp. (EGO),16.59,0.88,5.6
Quantum Biopharma Ltd. (QNTM),5.86,0.31,5.59
PubMatic Inc. (PUBM),10.45,0.55,5.56
Workhorse Group Inc. (WKHS),2.31,0.12,5.48
Turkcell Iletisim Hizmetleri A.S. ADR (TKC),6.21,0.32,5.43
Capstone Holding Corp. (CAPS),2.92,0.15,5.42
NextNav Inc. (NN),13.44,0.68,5.33
OptimizeRx Corp. (OPRX),9.47,0.47,5.22
Brag House Holdings Inc. (TBH),5.51,0.27,5.15
FreightCar America Inc. (RAIL),6.87,0.33,5.05
Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),11.71,0.55,4.93
Gogo Inc. (GOGO),8.62,0.4,4.87
Airship AI Holdings Inc. Cl A (AISP),4.75,0.22,4.86
Baiya International Group Inc. (BIYA),4.35,0.2,4.82
Oxbridge Re Holdings Ltd. (OXBR),2.2,0.1,4.76
XPLR Infrastructure LP (XIFR),9.82,0.44,4.69
HF Foods Group Inc. (HFFG),4.36,0.2,4.68
Banco BBVA Argentina S.A. ADR (BBAR),19.9,0.89,4.68
ViaSat Inc. (VSAT),11.71,0.52,4.65
Axogen Inc. (AXGN),18.99,0.84,4.63
Adient PLC (ADNT),14.59,0.63,4.51
United States Steel Corp. (X),43.0,1.85,4.5
Trade Desk Inc. Cl A (TTD),62.0,2.66,4.48
Primo Brands Corp. (PRMB),33.52,1.43,4.46
Addus HomeCare Corp. (ADUS),95.01,4.03,4.43
AppFolio Inc. (APPF),230.33,9.73,4.41
ECARX Holdings Inc. (ECX),2.87,0.12,4.36
ZenaTech Inc. (ZENA),3.12,0.13,4.35
New Gold Inc. (NGD),3.37,0.14,4.33
Etsy Inc. (ETSY),47.82,1.96,4.27
Banco Macro S.A. ADR (BMA),84.61,3.41,4.2
Expensify Inc. (EXFY),3.49,0.14,4.18
Bowhead Specialty Holdings Inc. (BOW),40.89,1.64,4.18
Intapp Inc. (INTA),64.18,2.56,4.15
YPF S.A. ADR (YPF),37.67,1.5,4.15
Taseko Mines Ltd. (TGB),2.52,0.1,4.13
Baytex Energy Corp. (BTE),2.31,0.09,4.05
Live Ventures Inc. (LIVE),7.0,0.27,4.01
Vivid Seats Inc. (SEAT),2.86,0.11,4.0
Kaltura Inc. (KLTR),2.09,0.08,3.98
Sage Therapeutics Inc. (SAGE),8.53,0.32,3.9
Cable One Inc. (CABO),264.46,9.84,3.86
Auna S.A. (AUNA),7.28,0.27,3.85
Clear Secure Inc. (YOU),27.51,1.01,3.81
Mineralys Therapeutics Inc. (MLYS),16.78,0.61,3.77
Centerra Gold Inc. (CGAU),6.33,0.23,3.77
